,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
244,chirongui,92.0,YT,2019-01-13,94.0,-12.93,45.15,78.8,2.24
245,kandrian,36.0,PG,2019-01-13,100.0,-6.21,149.55,75.43,2.73
246,fort morgan,0.0,US,2019-01-13,45.0,40.25,-103.8,43.16,4.7
247,cape town,20.0,ZA,2019-01-13,82.0,-33.93,18.42,60.8,5.82
248,correntina,64.0,BR,2019-01-13,41.0,-13.34,-44.63,86.59,7.43
249,burns lake,76.0,CA,2019-01-13,97.0,54.23,-125.76,27.82,2.73
250,hambantota,80.0,LK,2019-01-13,100.0,6.12,81.12,78.76,16.26
251,macomb,90.0,US,2019-01-13,84.0,40.46,-90.67,32.0,9.17
252,carballo,75.0,ES,2019-01-13,81.0,43.21,-8.69,50.0,3.18
253,meulaboh,20.0,ID,2019-01-13,100.0,4.14,96.13,77.05,3.18
254,nouadhibou,0.0,MR,2019-01-13,39.0,20.93,-17.03,66.2,3.36
255,caraubas,64.0,BR,2019-01-13,81.0,-5.79,-37.56,76.74,3.74
256,erzin,0.0,TR,2019-01-13,60.0,36.95,36.2,44.6,10.29
257,bandarbeyla,0.0,SO,2019-01-13,100.0,9.49,50.81,76.02,14.7
258,kutum,8.0,SD,2019-01-13,36.0,14.2,24.66,55.77,7.54
259,mutare,8.0,MZ,2019-01-13,75.0,-18.97,32.67,74.35,3.96
260,tyukalinsk,68.0,RU,2019-01-13,89.0,55.87,72.2,19.77,14.14
261,tautira,40.0,PF,2019-01-13,74.0,-17.73,-149.15,84.2,17.22
262,porbandar,0.0,IN,2019-01-13,73.0,21.64,69.61,67.47,12.35
263,hamilton,75.0,BM,2019-01-13,68.0,32.3,-64.78,64.4,6.93
264,camacupa,80.0,AO,2019-01-13,76.0,-12.02,17.48,68.95,6.64
265,yerbogachen,24.0,RU,2019-01-13,68.0,61.28,108.01,-23.44,7.99
266,banepa,20.0,NP,2019-01-13,93.0,27.63,85.52,41.0,3.36
